Name,street add,zip,Lat,Lon,Category\
Dunkin Donuts,1541 Washington Rd,15228,40.355509,-80.049809,Breakfast/Drink/Other\
Dunkin Donuts,411 Smithfield St,15222,40.439106,-79.99952,Breakfast/Drink/Other\
Dunkin Donuts,3200 Saw Mill Run Blvd,15227,40.376434,-79.984154,Breakfast/Drink/Other\
Dunkin Donuts,11175 Perry Hwy,15090,40.6204827,-80.0552996,Breakfast/Drink/Other\
Dunkin Donuts / Squirrel Hill,5889 Forbes Ave,15217,40.438267,-79.919646,Breakfast/Drink/Other\
Dunkin Donuts #346772,28 Market Sq,15222,40.440968,-80.003066,Breakfast/Drink/Other\
Dunkin Donuts #347328,344 Rodi Rd,15235,40.458241,-79.823727,Breakfast/Drink/Other\
Dunkin Donuts #347605,301 10th Ave,15084,40.605405,-79.756437,Breakfast/Drink/Other\
Dunkin Donuts #348440,4578 Browns Hill Rd,15217,40.416036,-79.924733,Breakfast/Drink/Other\
Dunkin Donuts #348700,3907 Forbes Ave,15213,40.442213,-79.956375,Breakfast/Drink/Other\
Dunkin Donuts #348824,911 Butler St,15223,40.511493,-79.948265,Breakfast/Drink/Other\
Dunkin Donuts #348825,45 Foster Ave,15205,40.439536,-80.069355,Breakfast/Drink/Other\
Dunkin Donuts #348993,601 Grant St,15219,40.441093,-79.996009,Breakfast/Drink/Other\
Dunkin Donuts #349047,800 West View Park Dr,15229,40.517833,-80.031722,Breakfast/Drink/Other\
Dunkin Donuts #349049,360 Curry Hollow Rd,15236,40.336754,-79.977231,Breakfast/Drink/Other\
Dunkin Donuts #349884,2134 Brownsville Rd,15210,40.391804,-79.98738,Breakfast/Drink/Other\
Dunkin Donuts #350871,2525 5th Ave,15132,40.356166,-79.834442,Breakfast/Drink/Other\
Dunkin Donuts #352224,2725 Freeport Rd,15238,40.538421,-79.833921,Breakfast/Drink/Other\
Dunkin Donuts #352225,1031 Paxton Dr,15102,40.336689,-80.023596,Breakfast/Drink/Other\
Dunkin Donuts #353396,1098 Washington Pi,15017,40.366665,-80.105453,Breakfast/Drink/Other\
Dunkin Donuts #354675,145 McMurray Rd,15241,40.326016,-80.065199,Breakfast/Drink/Other\
Dunkin' Donuts / Baskin-Robbins,1121 Lincoln Hwy,15137,40.449337,-80.199547,Breakfast/Drink/Other\
Dunkin' Donuts #348529,2961 W Liberty Ave,15216,40.393828,-80.035199,Breakfast/Drink/Other\
Einstein Bros Bagels @ Koppers,436 7th Ave,15219,40.442111,-79.995554,Breakfast/Drink/Other\
Einstein Bros Bagels #4054,979 Greentree Rd,15220,40.418469,-80.045429,Breakfast/Drink/Other\
Einstein Bros Bagels #4055,4910 Baum Blvd,15213,40.454553,-79.946117,Breakfast/Drink/Other\
Einstein Bros Bagels #4057,410 Market St / 3 PPG Place,15222,40.4401,-80.002703,Breakfast/Drink/Other\
Elements Cafe,6425 Penn Ave,15206,40.457165,-79.916834,Breakfast/Drink/Other\
Famous Wok,445 Pittsburgh Mills Cir,15084,40.637815,-79.796052,Take Out\
Fellini's Pizzeria,1231 Rt 51,15025,40.310512,-79.937441,Take Out\
Fellini's Pizzeria,6028 Saltsburg Rd,15147,40.48395,-79.820252,Take Out\
Fellini's Pizzeria,1624 Lincoln Way,15131,40.346983,-79.817164,Take Out\
Fellini's Pizzeria,4415 Old Wm Penn Hwy,15146,40.44612,-79.763587,Take Out\
Firehouse Subs,320 McHolme Dr,15275,40.448493,-80.174259,Take Out\
Five Guys #1208,1000 Ross Park Mall Dr,15237,40.538969,-80.007711,NO Dollar Menu\
Five Guys Burgers & Fries,324 McHolme Dr,15275,40.44849,-80.174263,NO Dollar Menu\
Five Guys Burgers & Fries,117 S Bouquet St,15213,40.442269,-79.956672,NO Dollar Menu\
Five Guys Burgers & Fries,1029 Freeport Rd,15238,40.488266,-79.885518,NO Dollar Menu\
Five Guys Burgers & Fries,2030 Pittsburgh Mills Blvd,15084,40.637815,-79.796052,NO Dollar Menu\
Five Guys Burgers & Fries,3845 Northern Pike,15146,40.438694,-79.77763,NO Dollar Menu\
Five Guys Burgers & Fries #1665,3 PPG Place,15222,40.4401,-80.002703,NO Dollar Menu\
Fortune Star Buffet,591 Clairton Blvd,15236,40.33322,-79.946238,Take Out\
Fortune Star Buffet & Grill,1840 Union Ave,15065,40.624687,-79.721774,Take Out\
Fox's Pizza,659 Woodward Ave,15136,40.472714,-80.072727,Take Out\
Fox's Pizza,6 Bailey Ave,15211,40.42685,-80.005307,Take Out\
Fox's Pizza,1746 William Flynn Hwy,15116,40.525393,-79.94725,Take Out\
Fox's Pizza,908 Little Deer Creek Valley Rd,15076,40.60823,-79.833146,Take Out\
Fox's Pizza,104 Church St,15145,40.405193,-79.826158,Take Out\
Fox's Pizza,4400 Old William Penn Hwy,15146,40.445241,-79.764845,Take Out\
Fox's Pizza Brookline,902 Brookline Blvd,15226,40.39006,-80.014366,Take Out\
Fox's Pizza Den,998 Brodhead Rd,15108,40.524248,-80.223868,Take Out\
Fox's Pizza Den,1100B Lincoln Hwy,15137,40.449407,-80.199564,Take Out\
Fox's Pizza Den,6091 Steubenville Pike,15136,40.443926,-80.146397,Take Out\
Fox's Pizza Den,1500 Radford Rd,15227,40.364247,-79.96717,Take Out\
Fox's Pizza Den,5700 Homeville Rd,15122,40.366344,-79.871442,Take Out\
Fox's Pizza Den,200 Swiss Lane,15037,40.28057,-79.835529,Take Out\
Fox's Pizza Den,710 Broadway Ave,15140,40.402315,-79.774875,Take Out\
Fox's Pizza Den,407 6th Ave,15084,40.603279,-79.752064,Take Out\
Fox's Pizza Den Bridgeville,3181 Washington Pike,15017,40.344098,-80.115051,Take Out\
Fox's Pizza Den of Oakmont,314 Allegheny River Blvd,15139,40.522838,-79.832475,Take Out\
Fox's Pizza Den Of Penn Hills,12244 Frankstown Rd,15235,40.472297,-79.819033,Take Out\
Fox's Pizza Den of Plum,2374 Golden Mile Hwy / Rt 286,15239,40.462782,-79.704641,Take Out\
Fox's Pizza-Carnegie,221 2nd Ave,15106,40.403277,-80.089572,Take Out\
Fu Lai,525 Penn Ave,15222,40.442861,-80.003113,Take Out\
Gateway Clipper Cafe,224 Station Square Dr,15219,40.433634,-80.004835,Breakfast/Drink/Other\
Gloria Jean's Coffees, Monroville Mall / Space A-9,15146,40.430526,-79.792457,Breakfast/Drink/Other\
Graeter's Ice Cream,10610 Perry Hwy,15090,40.611054,-80.053876,Breakfast/Drink/Other\
Grandslam Pizza,417 Old Abers Creek Rd,15239,40.465935,-79.705384,Take Out\
Grandslam Pizza #2,4376 Old Wm Penn Hwy,15146,40.443434,-79.768864,Take Out\
Green Beans Coffee, Pgh Intl Airport / Ne-3a,15231,40.495309,-80.235291,Breakfast/Drink/Other\
Green Beans Coffee, Pgh Intl Airport / Se-9c,15231,40.495309,-80.235291,Breakfast/Drink/Other\
Green Leaf's & Bananas,301 South Hill Village - Fc-5,15241,40.342924,-80.055169,Breakfast/Drink/Other\
Handel's Ice Cream,2240 Lebanon Church Rd,15122,40.347833,-79.942427,Breakfast/Drink/Other\
